,Types of Genre,Count
0,Indie,107
1,Action,101
2,Adventure,68
3,Strategy,58
4,Casual,53
5,Simulation,48
6,RPG,34
7,Massively Multiplayer,12
8,Sports,12
9,Early Access,12
10,Free to Play,9
11,Racing,9
12,Audio Production,1
13,Utilities,1
14,Education,1
15,Software Training,1
16,Design & Illustration,1
17,Web Publishing,1
